,Symbol,Sector,PER,ROA,ROE,REC,EPS
0,MMM,Industrials,17.382278,0.05448,0.93824,buy,7.9
1,AOS,Industrials,15.968058,0.13533,0.28627002,buy,4.07
2,ABT,Healthcare,24.970932,Unknown,Unknown,buy,5.16
3,ABBV,Healthcare,15.338829,Unknown,Unknown,buy,12.13
4,ACN,Technology,20.852169,0.11576,0.26965,buy,14.07
5,ADBE,Technology,17.893917,0.17194,0.47284,buy,20.55
6,AMD,Technology,18.949999,0.019019999,0.02893,buy,5.1
7,AES,Utilities,4.950739,0.02733,0.10055,buy,2.03
8,AFL,Financial Services,15.054394,0.03384,0.22639999,hold,7.17
9,A,Healthcare,18.81062,0.08392999,0.20614,buy,5.65
10,APD,Basic Materials,18.850388,0.048249997,0.22396,buy,14.17
11,ABNB,Consumer Cyclical,27.224445,0.07671,0.31948,hold,4.5
12,AKAM,Technology,11.944612,0.03924,0.10657,buy,6.68
13,ALB,Basic Materials,31.375,-0.02142,-0.11432,hold,1.84
14,ARE,Real Estate,22.058138,0.0141900005,0.02269,buy,3.44
15,ALGN,Healthcare,17.87037,0.06866,0.112629995,buy,10.26
16,ALLE,Industrials,17.521181,0.11533,0.42051998,hold,7.79
17,LNT,Utilities,18.804955,0.02645,0.10014,buy,3.23
18,ALL,Financial Services,10.137152,0.03618,0.23586,buy,19.03
19,GOOGL,Communication Services,18.075893,0.16896999,0.34789002,buy,8.96
20,GOOG,Communication Services,18.307264,0.16896999,0.34789002,buy,8.95
21,MO,Consumer Defensive,10.88972,0.20511,Unknown,hold,5.35
22,AMZN,Consumer Cyclical,30.730082,0.07438,0.24290001,strong_buy,6.15
23,AMCR,Consumer Cyclical,12.075949,0.05138,0.20721,buy,0.79
24,AEE,Utilities,19.975609,0.026630001,0.100080006,buy,4.92
25,AEP,Utilities,18.122242,0.02861,0.113859996,hold,5.89
26,AXP,Financial Services,17.51389,0.03727,0.34273,buy,15.12
27,AIG,Financial Services,12.104322,0.00754,0.057540003,buy,6.71
28,AMT,Real Estate,31.048603,0.04532,0.31768,buy,6.79
29,AWK,Utilities,25.257896,0.03457,0.10443,hold,5.7
30,AMP,Financial Services,12.06161,0.022219999,0.58108,buy,38.63
31,AME,Industrials,22.834246,0.07501,0.1497,buy,7.3
32,AMGN,Healthcare,13.586841,0.064,0.67553,buy,20.67
33,APH,Technology,35.115738,0.118219994,0.27526,buy,2.16
34,ADI,Technology,25.807692,0.02616,0.04429,buy,7.54
35,ANSS,Technology,29.126247,0.058369998,0.10032,hold,11.01
36,AON,Financial Services,19.312824,0.05988,0.72012,buy,17.39
37,APA,Energy,5.9454546,0.07467,0.22242,hold,2.75
38,APO,Financial Services,15.7311325,0.01844,0.22670001,buy,8.48
39,AAPL,Technology,25.184114,0.22518998,1.3652,buy,8.31
40,AMAT,Technology,15.639836,0.15558,0.35186002,buy,9.69
41,APTV,Consumer Cyclical,8.012894,0.05511,0.17297001,buy,6.98
42,ACGL,Financial Services,10.030973,0.044499997,0.22014,buy,9.04
43,ADM,Consumer Defensive,9.516765,0.0233,0.07587,hold,5.07
44,ANET,Technology,8.007195,0.15336001,0.33137,buy,9.73
45,AJG,Financial Services,28.572695,0.030280001,0.09488,buy,11.28
46,AIZ,Financial Services,10.648995,0.01893,0.15332,none,17.92
47,T,Communication Services,11.96875,0.04188,0.10885,buy,2.24
48,ATO,Utilities,22.14846,0.03504,0.09009,buy,7.14
49,ADSK,Technology,29.404139,0.085260004,0.49687,buy,9.18
50,ADP,Technology,26.840847,0.054569997,0.83716005,hold,10.87
51,AZO,Consumer Cyclical,20.705196,0.13438,Unknown,buy,174.32
52,AVB,Real Estate,37.140793,0.02898,0.09122,buy,5.54
53,AVY,Consumer Cyclical,16.230988,0.08647,0.31949,buy,10.52
